// This table is no longer used; pending removal,Positions,Acceleration,Sprint Speed,Agility,Balance,Jumping,Stamina,Strength,Reactions,Aggression,Composure,Interceptions,Attack Position,Vision,Ball Control,Crossing,Dribbling,Finishing,Free Kick Accuracy,Heading Accuracy,Long Passing,Short Passing,Marking,Shot Power,Long Shots,Standing Tackle,Slide Tackling,Volleys,Curve,Penalties,Diving,Handling,Kicking,Reflexes,Positioning
PosVsAtt,GK,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1
PosVsAtt,LB RB LWB RWB,1,1,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,3,3,3,3,3
PosVsAtt,CB SW RCB LCB,2,2,2,2,1,2,1,2,2,3,2,3,3,2,3,2,2,3,1,2,2,1,2,2,1,1,2,3,2,3,3,3,3,3
PosVsAtt,LM LW RM RW ,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3
PosVsAtt,CM CDM CAM RCM LCM LDM RDM LAM RAM,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,3,3,3,3
PosVsAtt,ST RF CF LF RS LS ,2,2,2,2,2,2,2,2,3,3,3,1,2,1,1,1,1,1,1,1,1,2,1,1,3,3,1,1,1,3,3,3,3,3
//,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//Key for the pourprose of the interval,AgeMin,AgeMax,RangeMin,RangeMax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntervalShowNever,0,100,-100,-40,"// for a player with the age in the [AgeMin,AgeMax) interval, if the attribute is in the [RangeMin, RangeMax) interval, the attribute will never be showed (red) - please see the Player Examples tab in Fog of War Attributes.xlsx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntervalShowImmediate,0,21,5,100,"// for a player with the age in the [AgeMin,AgeMax) interval, if the attribute is in the [RangeMin, RangeMax) interval, the attribute will be green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntervalShowImmediate,21,29,0,100,"// attributes that are neither red nor green according to these intervals, are yellow (research)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IntervalShowImmediate,29,100,-5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
